Sentence,Stimulus,Transcription Rater 1,Score,Participant,Rule_Score,LLM_Score,Semantic_Similarity,Divergence_Flag,Reasoning
1.0,Quiero cortarme el pelo,Quiero cortarme el pelo,4,AutoEIT Sample Transcriptions for Scoring(38002-2A),4,4,1.0,False,"The learner fully preserved the meaning of the prompt sentence, reproducing all words correctly with no significant variations."
2.0,El libro está en la mesa,El libro está en la mesa.,4,AutoEIT Sample Transcriptions for Scoring(38002-2A),4,4,0.998,False,"The learner reproduced the prompt sentence exactly, preserving the meaning completely."
3.0,El carro lo tiene Pedro,El carro tiene pelo.,1,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,1,0.3285,False,"The learner reproduced very few words correctly, and the meaning of the original sentence is mostly lost due to the incorrect addition of 'pelo' which changes the sentence's meaning to 'The car has hair'."
4.0,El se ducha cada mañana,él se ducha cada mañana,4,AutoEIT Sample Transcriptions for Scoring(38002-2A),4,4,0.9909,False,"The learner reproduced the prompt sentence with perfect accuracy, preserving the meaning of the sentence about the subject taking a shower every morning."
5.0,¿Qué dice usted que va a hacer hoy?,en que ustedes x uf x hacer hoy?,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.8503,False,"The learner reproduced some words correctly, such as 'usted' and 'hacer hoy', but the overall meaning is partially preserved due to incorrect word order and missing words like 'qué' and 'va a'."
6.0,Dudo que sepa manejar muy bien,dudo/tu no? sepiar exx muy bien,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,2,0.5456,False,"The learner reproduced some words correctly, such as 'dudo' and 'muy bien', but the meaning is partially lost due to incorrect word order and substitution of 'tu no?' for 'que sepa'."
7.0,Las calles de esta ciudad son muy anchas,La calles estén xxxx muy anchas.,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,2,0.928,False,"The learner reproduced some words correctly, such as 'calles', 'muy', and 'anchas', but the verb conjugation and subject-verb agreement were incorrect, resulting in a partial preservation of the meaning."
8.0,Puede que llueva mañana todo el día,Puede que mañana todo la día,3,AutoEIT Sample Transcriptions for Scoring(38002-2A),3,2,0.7646,False,"The learner reproduced some words correctly, such as 'puede que' and 'mañana', but lost the word 'llueva' and incorrectly used 'la' instead of 'todo el día', preserving partial meaning."
9.0,Las casas son muy bonitas pero caras,Las casas muy bonitos pero ... casas,3,AutoEIT Sample Transcriptions for Scoring(38002-2A),3,2,0.7801,False,"The learner partially preserved the meaning by correctly using 'Las casas' and 'muy bonitos', but lost the nuance of 'son' and 'pero caras', and also introduced a filler word '...' and a minor spelling variation 'bonitos' instead of 'bonitas'."
10.0,Me gustan las películas que acaban bien,Me gustan las películas campan bien,3,AutoEIT Sample Transcriptions for Scoring(38002-2A),3,2,0.9547,False,"The learner reproduced some words correctly, such as 'Me gustan las películas', but replaced the phrase 'que acaban bien' with 'campan bien', which changes the meaning of the sentence, indicating a partial preservation of meaning."
11.0,El chico con el que yo salgo es español,el chico con ... español,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.9555,False,"The learner reproduced some words correctly, including 'el chico con' and 'español', but left out the crucial phrase 'con el que yo salgo', resulting in a partial preservation of the meaning."
12.0,Después de cenar me fui a dormir tranquilo,después de finar ... él dormir xxx,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,2,0.5972,False,"The learner reproduced some words correctly ('después de', 'dormir'), but the meaning is partially lost due to incorrect words ('finar' instead of 'cenar') and unclear final word ('xxx')."
13.0,Quiero una casa en la que vivan mis animales,Quiere una casa con animales,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,2,0.8507,False,"The learner partially preserved the meaning by keeping the main idea of wanting a house, but lost the detail about the animals living there, and also changed the verb conjugation from 'Quiero' to 'Quiere'."
14.0,A nosotros nos fascinan las fiestas grandiosas,a nosotros fana-xxx fiestas grandinosas,3,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,3,0.8921,False,"The learner reproduced most of the words correctly, including the phrase 'a nosotros' and the adjective 'grandiosas', preserving the meaning of the original sentence, but made a small error in the verb 'fascinan' which was replaced with 'fana-xxx'."
15.0,Ella sólo bebe cerveza y no come nada,Ella xxx no beber querer,1,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,1,0.4679,False,"The learner reproduced very few words correctly, and the meaning of the sentence is mostly lost due to the incorrect verb and the lack of the main clause 'sólo bebe cerveza y no come nada'."
16.0,Me gustaría que el precio de las casas bajara,Me gusta el casa xxx...,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,2,0.4559,False,"The learner reproduced some words correctly, such as 'Me gusta' and 'el casa', but the meaning is partially lost due to the incorrect verb conjugation and the omission of key words like 'precio' and 'bajara'."
17.0,Cruza a la derecha y después sigue todo recto,en quises a la derecha xxx...,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,2,0.7156,False,"The learner reproduced some words correctly ('a la derecha'), but the overall meaning is partially preserved due to the presence of filler words and incorrect continuation ('quises'), indicating a partial understanding of the prompt sentence."
18.0,Ella ha terminado de pintar su apartamento,Ella tiene termino xx apartamento,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,2,0.7494,False,"The learner reproduced some words correctly, such as 'Ella' and 'terminado', but lost the meaning of the sentence due to incorrect verb conjugation and word order, and the incorrect word 'tienes' instead of 'ha' and 'pintar' instead of 'terminado'."
